Слово;Частотность;Сортировка
европейский;19;Прилагательное
жакет;54;Существительное
жать;22;Глагол
ждать;32;Глагол
желанный;48;Прилагательное
жена;36;Существительное
женственный;263;Прилагательное
живот;56;Существительное
жизнь;75;Существительное
забота;20;Существительное
забрать;40;Глагол
зависимость;31;Существительное
завораживать;18;Глагол
задать;32;Глагол
заказ;67;Существительное
заказать;162;Глагол
закрывать;18;Глагол
закрытый;46;Прилагательное
зал;23;Существительное
замена;25;Существительное
заменить;58;Глагол
замок;24;Существительное
занятие;69;Существительное
запах;117;Существительное
запоминаться;43;Глагол
заправить;17;Глагол
запястье;19;Существительное
застегнуть;131;Глагол
застёжка;320;Существительное
зебра;27;Существительное
зимний;36;Прилагательное
зона;39;Существительное
идеальный;424;Прилагательное
идти;23;Глагол
избранный;17;Прилагательное
изгиб;27;Существительное
изготовить;43;Глагол
изделие;267;Существительное
изначальный;20;Прилагательное
износ;66;Существительное
износостойкий;17;Прилагательное
изъять;20;Глагол
изысканный;74;Прилагательное
изюминка;63;Существительное
изящество;15;Существительное
изящный;152;Прилагательное
имитировать;16;Глагол
индивидуальность;20;Существительное
интересный;19;Прилагательное
интернет;19;Существительное
информация;20;Существительное
искать;49;Глагол
испачкать;38;Глагол
исполнение;17;Существительное
использование;36;Существительное
использовать;148;Глагол
итальянский;15;Прилагательное
йога;68;Существительное
каблук;38;Существительное
каждый день;894;Существительное
кардиган;50;Существительное
каре;16;Существительное
кармен;31;Существительное
категория;15;Существительное
катышек;26;Существительное
качественный;74;Прилагательное
качество;332;Прилагательное
квадратный;31;Прилагательное
кино;18;Существительное
классика;44;Существительное
классический;240;Прилагательное
клик;15;Существительное
ключица;19;Существительное
кнопка;288;Существительное
кожа;127;Существительное
кожаный;46;Прилагательное
коктейльный;16;Прилагательное
коллекция;95;Существительное
колоться;49;Глагол
комбинировать;34;Глагол
комплект;28;Существительное
комплимент;22;Существительное
комфорт;162;Существительное
комфортный;204;Прилагательное
конкретно;19;Прилагательное
контрастный;35;Прилагательное
контур;21;Существительное
контурный;18;Прилагательное
концепция;18;Существительное
кормить;58;Глагол
кормление;22;Существительное
короткий;145;Прилагательное
корпоратив;55;Существительное
корректировать;44;Глагол
корсет;76;Существительное
костюм;46;Существительное
кофе;26;Существительное
кофта;179;Существительное
кофточка;41;Существительное
красивый;423;Прилагательное
красный;52;Прилагательное
красота;74;Существительное
крем;19;Существительное
крой;423;Прилагательное
кроссовок;25;Существительное
круглый;48;Прилагательное
кружевной;183;Прилагательное
кружево;106;Существительное
крючков;58;Существительное
крючок;301;Существительное
купальник;102;Существительное
купить;100;Глагол
лайкра;42;Существительное
лаконичный;64;Прилагательное
лапка;31;Существительное
лапша;74;Существительное
леггинс;27;Существительное
лёгкий;155;Прилагательное
легко;46;Прилагательное
лёгкость;20;Глагол
леди;20;Существительное
лекало;24;Существительное
леопардовый;77;Прилагательное
летний;251;Прилагательное
линия;110;Существительное
линять;18;Глагол
лиф;15;Существительное
лишний;39;Прилагательное
лодочка;49;Существительное
лонгслив;97;Существительное
лук;123;Существительное
любимый;189;Прилагательное
любить;39;Глагол
любовь;22;Существительное
любой;618;Прилагательное
лямка;17;Существительное
магазин;50;Существительное
майка;62;Существительное
максимальный;39;Прилагательное
маленький;19;Прилагательное
маломерить;15;Глагол
мама;86;Существительное
манжета;59;Существительное
манящий;16;Прилагательное
маркетплейс;27;Существительное
масса;16;Существительное
мастхэв;20;Существительное
материал;236;Существительное
менять;31;Глагол
мерить;19;Глагол
мероприятие;47;Существительное
мечта;15;Существительное
милый;19;Прилагательное
мир;33;Существительное
мировой;19;Прилагательное
мнение;18;Существительное
многий;22;Прилагательное
многократный;18;Прилагательное
многофункциональный;29;Прилагательное
множество;55;Существительное
мода;35;Существительное
моделирующий;27;Прилагательное
модель;973;Существительное
модница;36;Существительное
модный;278;Прилагательное
молния;53;Существительное
молодёжный;15;Прилагательное
молодой;18;Прилагательное
молочный;31;Прилагательное
моментально;22;Прилагательное
море;27;Существительное
мужчина;21;Существительное
мушка;16;Существительное
мягкий;294;Прилагательное
мягко;24;Прилагательное
мяться;19;Глагол
надевать;170;Глагол
надоесть;15;Глагол
надолго;19;Прилагательное
надпись;25;Существительное
назад;19;Существительное
найти;19;Существительное
наличие;36;Существительное
написать;19;Глагол
напоминать;22;Глагол
напуск;33;Существительное
наряд;139;Существительное
нарядный;466;Прилагательное
настроение;58;Существительное
нательный;24;Прилагательное
натирать;76;Глагол
натуральный;29;Прилагательное
находиться;32;Глагол
начать;19;Глагол
неаккуратно;19;Прилагательное
небольшой;22;Прилагательное
невероятный;35;Прилагательное
невнимательный;19;Прилагательное
невысокий;384;Прилагательное
недостаток;45;Существительное
нежно;23;Прилагательное
нежный;84;Прилагательное
незабываемый;30;Прилагательное
независимость;19;Глагол
незаменимый;38;Прилагательное
незамеченный;15;Прилагательное
неизменный;53;Прилагательное
немой;43;Прилагательное
необоснованно;19;Прилагательное
необходимый;23;Прилагательное
необычный;35;Прилагательное
неординарный;17;Прилагательное
неотразимый;32;Прилагательное
неотъемлемый;18;Прилагательное
неповторимый;72;Прилагательное
несовершенство;15;Прилагательное
нигде;25;Существительное
ниже;20;Существительное
нижний;157;Прилагательное
низ;47;Существительное
низкий;21;Прилагательное
низом;53;Существительное
никто;23;Существительное
нитка;19;Существительное
новинка;103;Существительное
новогодний;69;Прилагательное
новый;497;Прилагательное
нога;19;Существительное
носить;274;Глагол
носка;124;Существительное
ноский;18;Прилагательное
нюдовой;44;Прилагательное
обворожительный;15;Прилагательное
обеспечивать;53;Глагол
обеспечить;26;Глагол
обладательница;16;Существительное
обладать;69;Глагол
область;56;Глагол
облегать;405;Глагол
обнаружение;19;Существительное
обновить;20;Глагол
обновка;24;Существительное
образ;780;Существительное
образовать;22;Глагол
обрести;19;Существительное
обстановка;36;Существительное
обтягивать;40;Глагол
обувь;17;Существительное
объёмный;112;Прилагательное
обязательно;30;Прилагательное
оверсайза;42;Существительное
одновременно;19;Существительное
однотонный;48;Прилагательное
одношовный;20;Прилагательное
ознакомиться;20;Глагол
округлый;31;Прилагательное
окружающий;57;Прилагательное
определённый;20;Прилагательное
опрятно;21;Прилагательное
органично;20;Прилагательное
оригинальный;61;Прилагательное
ориентироваться;16;Глагол
осень;24;Существительное
основа;56;Существительное
особенно;27;Прилагательное
особый;30;Прилагательное
оставаться;30;Глагол
оставить;35;Глагол
оставлять;53;Глагол
остаться;63;Глагол
отдых;27;Существительное
отжим;24;Существительное
отзыв;59;Существительное
отказаться;57;Глагол
открывать;29;Глагол
открытый;326;Прилагательное
открыть;15;Глагол
отличаться;34;Глагол
отлично;189;Прилагательное
отличный;194;Прилагательное
отправить;67;Глагол
отправка;19;Существительное
отправлять;19;Глагол
отслеживать;23;Глагол
оттенок;61;Существительное
отшиваться;18;Глагол
офис;431;Существительное
офисный;225;Прилагательное
официальный;21;Прилагательное
оценить;27;Глагол
очарование;38;Существительное
очень;169;Существительное
ощупь;48;Существительное
палаццо;25;Существительное
параметр;32;Существительное
пение;28;Существительное
первоначальный;15;Прилагательное
первый;35;Прилагательное
передавливать;24;Глагол
пиджак;178;Существительное
писать;19;Глагол
платить;38;Глагол
платье;52;Глагол
плечо;324;Существительное
плотный;105;Прилагательное
пляж;31;Существительное
побывать;19;Глагол
повод;34;Существительное
повседневный;551;Прилагательное
подарить;29;Глагол
подарок;328;Существительное
поднять;21;Глагол
подобрать;24;Глагол
подойти;432;Прилагательное
подросток;95;Существительное
подруга;64;Существительное
подходить;216;Глагол
подчёркивать;147;Глагол
подчеркнуть;251;Глагол
пожалуйста;37;Существительное
позволить;107;Глагол
позволять;184;Глагол
покорить;19;Глагол
покорять;23;Глагол
покрой;86;Прилагательное
покупатель;70;Существительное
покупательница;15;Существительное
покупка;18;Существительное
полностью;15;Глагол
полный;37;Прилагательное
поломать;19;Глагол
полоска;18;Существительное
полупрозрачный;28;Прилагательное
получение;19;Существительное
получить;50;Глагол
помогать;55;Глагол
помощь;76;Существительное
помятый;19;Прилагательное
понизить;19;Глагол
популярный;43;Прилагательное
порадовать;45;Глагол
порвать;38;Глагол
посадка;146;Существительное
последний;25;Прилагательное
потрясать;20;Глагол
потрясающе;22;Существительное
поход;33;Существительное
похожий;19;Прилагательное
пошив;27;Существительное
появляться;21;Глагол
праздник;199;Существительное
праздничный;304;Прилагательное
практически;27;Существительное
практичность;29;Глагол
практичный;217;Прилагательное
превосходный;30;Прилагательное
превратиться;23;Глагол
предмет;92;Существительное
предпочитать;15;Глагол
представить;143;Глагол
преимущество;28;Существительное
прекрасно;161;Существительное
прекрасный;127;Прилагательное
премиальный;39;Прилагательное
премиум;48;Существительное
привлекательный;24;Прилагательное
привыкнуть;20;Глагол
придавать;44;Глагол
придать;39;Глагол
прийти;41;Прилагательное
прилегание;23;Существительное
прилегать;35;Глагол
примерить;47;Глагол
примерка;70;Существительное
примерять;21;Глагол
примеряться;19;Глагол
принимать;21;Глагол
принт;97;Существительное
принта;16;Существительное
принтом;134;Существительное
принять;20;Глагол
приобрести;37;Существительное
присутствие;19;Существительное
приталенный;71;Прилагательное
приталёный;17;Прилагательное
притягательность;17;Глагол
причина;19;Существительное
пришивной;20;Прилагательное
пришить;20;Глагол
приятно;24;Существительное
приятный;250;Прилагательное
проверка;41;Существительное
проверять;19;Глагол
прогулка;122;Существительное
продажа;37;Существительное
продумать;20;Глагол
прозрачный;130;Прилагательное
производитель;60;Существительное
пройти;19;Прилагательное
просвечивать;24;Глагол
просить;22;Глагол
просто;56;Прилагательное
профессиональный;18;Прилагательное
профиль;19;Существительное
прохладный;19;Прилагательное
прочее;19;Существительное
прямо;16;Прилагательное
прямой;37;Прилагательное
пуговица;48;Существительное
пуля;23;Существительное
пункт;20;Существительное
путешествие;21;Существительное
пышный;118;Прилагательное
работа;361;Существительное
радовать;31;Глагол
развиваться;19;Глагол
различный;44;Прилагательное
размер;481;Существительное
размерный;66;Прилагательное
разнообразный;45;Прилагательное
разный;77;Прилагательное
разрез;16;Существительное
ранее;20;Существительное
расклёшить;18;Глагол
раскрепостить;25;Глагол
раскрывать;24;Глагол
раскрыть;40;Глагол
распродажа;18;Существительное
растягиваться;30;Глагол
растяжение;20;Существительное
расцветка;43;Существительное
регулировать;128;Глагол
регулироваться;46;Глагол
режим;17;Существительное
резинка;25;Существительное
рейтинг;19;Существительное
рекомендовать;62;Глагол
рекомендоваться;30;Глагол
ресторан;35;Существительное
решение;46;Существительное
рисунок;102;Существительное
рождение;425;Существительное
рождество;19;Существительное
розовый;23;Прилагательное
романтический;52;Прилагательное
романтичный;80;Прилагательное
роскошный;22;Прилагательное
российский;87;Прилагательное
россия;33;Существительное
рост;160;Существительное
рубаха;18;Существительное
рубашка;261;Существительное
рубчик;96;Существительное
рука;33;Существительное
рукав;1405;Существительное
рюш;22;Существительное
ряд;35;Существительное
садиться;72;Глагол
сайт;20;Существительное
самый;272;Прилагательное
свадьба;53;Существительное
свёрнутый;19;Прилагательное
свет;17;Существительное
свидание;343;Существительное
свобода;16;Существительное
свободный;108;Прилагательное
свой;183;Прилагательное
свойство;21;Прилагательное
сделать;227;Глагол
сезон;59;Существительное
сексуальность;74;Глагол
сексуальный;268;Прилагательное
серый;45;Прилагательное
сестра;34;Существительное
сесть;19;Глагол
сетка;188;Существительное
сеточка;19;Существительное
сетчатый;37;Прилагательное
сидеть;62;Глагол
силуэт;123;Существительное
синий;24;Прилагательное
ситуация;20;Существительное
скатываться;16;Глагол
скидка;28;Существительное
склад;95;Существительное
складка;44;Существительное
сковывать;54;Глагол
скрывать;16;Глагол
скрыть;64;Глагол
след;40;Существительное
следующий;39;Прилагательное
слип;214;Существительное
слитный;69;Прилагательное
сложить;19;Глагол
сломать;19;Глагол
случай;90;Существительное
смелый;36;Прилагательное
смотреться;247;Глагол
смочь;21;Существительное
снизу;72;Существительное
соблазнительный;53;Прилагательное
советовать;18;Глагол
современный;96;Прилагательное
содержание;20;Существительное
создавать;283;Глагол
создание;72;Существительное
сообщить;20;Глагол
соответствовать;84;Глагол
состав;51;Существительное
сотрудник;78;Существительное
сохранить;35;Глагол
сочетание;75;Существительное
сочетать;271;Глагол
специальный;17;Прилагательное
спина;143;Существительное
спинка;19;Существительное
спорт;172;Существительное
спортивный;198;Прилагательное
спустить;39;Глагол
срок;16;Существительное
ссылка;19;Существительное
стандартный;77;Прилагательное
стать;230;Глагол
стеснять;80;Глагол
стиль;178;Существительное
стильный;370;Прилагательное
стирать;22;Глагол
стирка;128;Существительное
стойка;29;Прилагательное
стойкий;27;Прилагательное
стойкость;35;Прилагательное
стринг;159;Существительное
строгий;75;Прилагательное
стройный;44;Прилагательное
строчка;21;Существительное
струиться;18;Глагол
супер;67;Существительное
счёт;141;Существительное
таблица;51;Существительное
также;146;Существительное
талия;137;Существительное
танец;174;Существительное
телесный;37;Прилагательное
тело;382;Существительное
телодвижение;16;Существительное
температура;21;Существительное
тень;43;Существительное
тёплый;21;Прилагательное
терять;68;Глагол
течение;31;Существительное
тип;36;Существительное
ткань;444;Существительное
товар;306;Существительное
тон;18;Существительное
тональный;19;Прилагательное
тонкий;49;Прилагательное
торжественный;28;Прилагательное
торчать;20;Глагол
тренд;126;Существительное
трендовый;30;Прилагательное
трикотаж;373;Существительное
трикотажный;446;Прилагательное
труд;21;Существительное
трусы;236;Существительное
турция;16;Существительное
тянуться;27;Глагол
уважать;19;Глагол
уверенный;30;Прилагательное
уверить;16;Глагол
удаться;16;Глагол
удачно;18;Прилагательное
удлинённый;30;Прилагательное
удлинить;43;Глагол
удобный;249;Прилагательное
удобство;50;Существительное
удовольствие;15;Существительное
узкий;21;Прилагательное
указать;22;Глагол
украсить;50;Глагол
ультрамодный;46;Прилагательное
уменьшать;16;Глагол
уместно;15;Существительное
уместный;22;Прилагательное
универсальность;19;Глагол
универсальный;206;Прилагательное
уникальный;86;Прилагательное
упаковать;15;Глагол
упаковка;42;Существительное
утончить;19;Глагол
утягивать;80;Глагол
уход;51;Существительное
учёба;37;Существительное
фабрика;30;Существительное
фасон;34;Существительное
фигура;428;Существительное
фиксироваться;22;Глагол
фирменный;22;Прилагательное
фитнес;44;Существительное
фонарик;69;Существительное
форма;136;Существительное
фото;39;Существительное
фотосессия;70;Существительное
футболка;72;Существительное
хит;34;Существительное
хлопок;128;Существительное
хороший;199;Прилагательное
хотеть;53;Глагол
хрупкий;16;Прилагательное
цвет;211;Существительное
цветной;56;Прилагательное
цветок;35;Существительное
целый;23;Прилагательное
цена;49;Существительное
ценить;37;Глагол
центр;18;Существительное
цепь;43;Существительное
часть;83;Глагол
чашка;27;Существительное
чёрный;521;Прилагательное
чистый;26;Прилагательное
чувственность;43;Глагол
чувственный;20;Прилагательное
чувствовать;118;Глагол
чужой;19;Прилагательное
шарм;37;Существительное
швейный;20;Прилагательное
шёлковый;37;Прилагательное
шея;76;Существительное
шикарный;96;Прилагательное
широкий;73;Прилагательное
шить;19;Глагол
шифон;18;Существительное
школьный;172;Прилагательное
шов;30;Существительное
шорты;126;Существительное
штаны;36;Существительное
эксклюзивный;34;Прилагательное
эластан;135;Существительное
эластичность;43;Глагол
эластичный;236;Прилагательное
элегантность;50;Глагол
элегантный;209;Прилагательное
элемент;74;Существительное
эротика;31;Существительное
эротический;126;Прилагательное
эстетика;36;Существительное
эталон;28;Существительное
эффект;70;Существительное
эффектный;259;Прилагательное
юбка;458;Существительное
являться;72;Глагол
яркий;193;Прилагательное
